batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,1.714e-06
2,4,13,3,2.229e-06
2,8,33,3,5.415e-06
2,16,97,3,1.5656e-05
2,32,321,3,6.594e-05
2,64,1153,3,0.000197481
2,128,4353,3,0.000829071
2,256,16897,3,0.00331541
2,512,66561,3,0.0145428
2,1024,264193,3,0.0544543
2,2048,1052673,3,0.211647
2,4096,4202497,3,0.881724
,,,,
4,2,6,3,3.437e-06
4,4,13,3,3.673e-06
4,8,33,3,1.0304e-05
4,16,97,3,3.003e-05
4,32,321,3,0.00011798
4,64,1153,3,0.000436922
4,128,4353,3,0.00170434
4,256,16897,3,0.00645083
4,512,66561,3,0.0281007
4,1024,264193,3,0.108231
4,2048,1052673,3,0.422676
4,4096,4202497,3,1.76792
,,,,
8,2,6,3,4.763e-06
8,4,13,3,6.833e-06
8,8,33,3,1.9543e-05
8,16,97,3,5.9313e-05
8,32,321,3,0.000210022
8,64,1153,3,0.000837595
8,128,4353,3,0.0032613
8,256,16897,3,0.013178
8,512,66561,3,0.0547784
8,1024,264193,3,0.218445
8,2048,1052673,3,0.868623
8,4096,4202497,3,3.8915
,,,,
16,2,6,3,7.694e-06
16,4,13,3,1.3326e-05
16,8,33,3,3.8097e-05
16,16,97,3,0.00011794
16,32,321,3,0.000423823
16,64,1153,3,0.00166562
16,128,4353,3,0.00651927
16,256,16897,3,0.0277122
16,512,66561,3,0.108206
16,1024,264193,3,0.435223
16,2048,1052673,3,1.72035
16,4096,4202497,3,7.28557
,,,,
32,2,6,3,1.4278e-05
32,4,13,3,2.6138e-05
32,8,33,3,9.2062e-05
32,16,97,3,0.000237356
32,32,321,3,0.000908386
32,64,1153,3,0.0033104
32,128,4353,3,0.0129616
32,256,16897,3,0.0534217
32,512,66561,3,0.210283
32,1024,264193,3,0.843448
32,2048,1052673,3,3.36025
32,4096,4202497,3,13.8626
,,,,
64,2,6,3,2.5816e-05
64,4,13,3,5.1026e-05
64,8,33,3,0.0001483
64,16,97,3,0.000489398
64,32,321,3,0.0016859
64,64,1153,3,0.00671014
64,128,4353,3,0.0263359
64,256,16897,3,0.105847
64,512,66561,3,0.433156
64,1024,264193,3,1.73245
64,2048,1052673,3,6.99523
64,4096,4202497,3,28.196
,,,,
128,2,6,3,6.0394e-05
128,4,13,3,0.000104683
128,8,33,3,0.000288138
128,16,97,3,0.000959429
128,32,321,3,0.00339429
128,64,1153,3,0.0136193
128,128,4353,3,0.0523516
128,256,16897,3,0.211174
128,512,66561,3,0.857622
128,1024,264193,3,3.46887
128,2048,1052673,3,13.9752
128,4096,4202497,3,56.9118
,,,,
