batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,0.000182655
2,4,13,3,9.4881e-05
2,8,33,3,0.000137811
2,16,97,3,0.000262945
2,32,321,3,0.000569824
2,64,1153,3,0.00149464
2,128,4353,3,0.00420589
2,256,16897,3,0.0143626
2,512,66561,3,0.052121
2,1024,264193,3,0.189838
2,2048,1052673,3,0.75316
2,4096,4202497,3,2.95166
,,,,
4,2,6,3,0.000178614
4,4,13,3,0.000107708
4,8,33,3,0.000179555
4,16,97,3,0.00036138
4,32,321,3,0.000828152
4,64,1153,3,0.00228296
4,128,4353,3,0.0071285
4,256,16897,3,0.0256372
4,512,66561,3,0.0915323
4,1024,264193,3,0.346048
4,2048,1052673,3,1.38083
4,4096,4202497,3,5.43982
,,,,
8,2,6,3,0.01223
8,4,13,3,0.000216815
8,8,33,3,0.000441658
8,16,97,3,0.000865483
8,32,321,3,0.00214061
8,64,1153,3,0.00527952
8,128,4353,3,0.0129564
8,256,16897,3,0.0466944
8,512,66561,3,0.170581
8,1024,264193,3,0.664755
8,2048,1052673,3,2.69289
8,4096,4202497,3,10.6515
,,,,
16,2,6,3,0.0123886
16,4,13,3,0.000220248
16,8,33,3,0.00042414
16,16,97,3,0.000918767
16,32,321,3,0.00241935
16,64,1153,3,0.00726913
16,128,4353,3,0.0245439
16,256,16897,3,0.087202
16,512,66561,3,0.332004
16,1024,264193,3,1.30962
16,2048,1052673,3,5.31614
16,4096,4202497,3,21.2561
,,,,
32,2,6,3,0.0125502
32,4,13,3,0.000371507
32,8,33,3,0.000742072
32,16,97,3,0.00166563
32,32,321,3,0.0045108
32,64,1153,3,0.0139596
32,128,4353,3,0.047028
32,256,16897,3,0.169254
32,512,66561,3,0.658793
32,1024,264193,3,2.59564
32,2048,1052673,3,10.7211
32,4096,4202497,3,42.4351
,,,,
64,2,6,3,0.0131123
64,4,13,3,0.000696471
64,8,33,3,0.00141018
64,16,97,3,0.00327275
64,32,321,3,0.00875437
64,64,1153,3,0.0271506
64,128,4353,3,0.0919453
64,256,16897,3,0.333441
64,512,66561,3,1.29862
64,1024,264193,3,5.14828
64,2048,1052673,3,21.0029
64,4096,4202497,3,85.8915
,,,,
128,2,6,3,0.0138698
128,4,13,3,0.00137436
128,8,33,3,0.00278936
128,16,97,3,0.00645959
128,32,321,3,0.0233698
128,64,1153,3,0.0544769
128,128,4353,3,0.185363
128,256,16897,3,0.685997
128,512,66561,3,2.68983
128,1024,264193,3,10.6753
128,2048,1052673,3,42.1215
128,4096,4202497,3,169.419
,,,,
