batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,2.3131e-05
2,4,13,3,5.0876e-05
2,8,33,3,3.4939e-05
2,16,97,3,5.4796e-05
2,32,321,3,0.000105586
2,64,1153,3,0.000282463
2,128,4353,3,0.000759578
2,256,16897,3,0.00228021
2,512,66561,3,0.00815161
2,1024,264193,3,0.0309956
2,2048,1052673,3,0.12257
2,4096,4202497,3,0.46672
,,,,
4,2,6,3,3.9465e-05
4,4,13,3,2.9939e-05
4,8,33,3,4.9948e-05
4,16,97,3,7.0724e-05
4,32,321,3,0.000147639
4,64,1153,3,0.000339998
4,128,4353,3,0.000795832
4,256,16897,3,0.00269241
4,512,66561,3,0.00853315
4,1024,264193,3,0.0316484
4,2048,1052673,3,0.123941
4,4096,4202497,3,0.481597
,,,,
8,2,6,3,4.9941e-05
8,4,13,3,5.4325e-05
8,8,33,3,6.1245e-05
8,16,97,3,9.9307e-05
8,32,321,3,0.000202581
8,64,1153,3,0.000442043
8,128,4353,3,0.00102382
8,256,16897,3,0.00286994
8,512,66561,3,0.00958658
8,1024,264193,3,0.0335338
8,2048,1052673,3,0.127338
8,4096,4202497,3,0.490595
,,,,
16,2,6,3,5.419e-05
16,4,13,3,6.6531e-05
16,8,33,3,9.8503e-05
16,16,97,3,0.000210793
16,32,321,3,0.000317629
16,64,1153,3,0.00065148
16,128,4353,3,0.00156986
16,256,16897,3,0.00376793
16,512,66561,3,0.0112198
16,1024,264193,3,0.0373658
16,2048,1052673,3,0.134397
16,4096,4202497,3,0.484465
,,,,
32,2,6,3,9.295e-05
32,4,13,3,0.000135835
32,8,33,3,0.000180143
32,16,97,3,0.00033926
32,32,321,3,0.000588939
32,64,1153,3,0.00118399
32,128,4353,3,0.00249965
32,256,16897,3,0.00554241
32,512,66561,3,0.0147427
32,1024,264193,3,0.0430991
32,2048,1052673,3,0.145665
32,4096,4202497,3,0.514738
,,,,
64,2,6,3,0.000213171
64,4,13,3,0.0002414
64,8,33,3,0.00036914
64,16,97,3,0.0006486
64,32,321,3,0.00116718
64,64,1153,3,0.00228649
64,128,4353,3,0.00448088
64,256,16897,3,0.0099335
64,512,66561,3,0.0234351
64,1024,264193,3,0.0598246
64,2048,1052673,3,0.186025
64,4096,4202497,3,0.612551
,,,,
128,2,6,3,0.000392085
128,4,13,3,0.00055556
128,8,33,3,0.000804
128,16,97,3,0.00135661
128,32,321,3,0.00255472
128,64,1153,3,0.00489625
128,128,4353,3,0.00955021
128,256,16897,3,0.0201971
128,512,66561,3,0.0415531
128,1024,264193,3,0.0968295
128,2048,1052673,3,0.261903
128,4096,4202497,3,0.751273
,,,,
